Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Achalarus casica	3.353	1	0.0166666666666667	-1	0.0166666666666667	0.08308	0.004143	1.604	1.6	0.8803	0.13729	1.598	1.46	-3.584	-8.899	1.6239	8.994	NA	5	26	1993	2018
Achalarus lyciades	2.472	0.569675688471554	0	0.157515978852679	0.0927066331341755	1.0647	0.5664	1.93	1.358	0.29392	-0.06706	0.6259	0.6886	-0.6384	-5.804	4.985	10.721	NA	126	26	1993	2018
Achalarus toxeus	1.424	1	0.0833333333333333	-0.8	0.333333333333333	247	11.05	4807	4797	-0.7455	-1.742	0.2347	2.057	18.403	-4.891	49.09	50.65	NA	4	26	1993	2018
Achlyodes thraso	1.464	0.963636363636364	0	-0.733333333333333	0.0211664810722656	2.844	0.4148	19.9	19.5	0.3858	-0.65143	1.095	1.743	6.207	-5.994	18.152	21.92	NA	10	26	1993	2018
Adelpha basiloides	10.863	NA	NA	NA	NA	1.143e-19	0	Inf	Inf	-12.95	-66835	66814	133649	-77.18	-100	Inf	Inf	NA	1	17	1995	2016
Adelpha bredowii	1.855	0.905440900562852	0	-0.437523452157598	0.00511620616760645	0.8456	0.3729	1.813	1.432	0.7155	0.3833	1.0345	0.6536	-2.655	-5.172	0.164	5.207	NA	47	26	1993	2018
Adelpha fessonia	125.185	1	0.333333333333333	-1	0.333333333333333	2.853	0.006903	1300	1300	-0.1438	-1.974	1.766	3.763	6.012	-12.45	32.19	44.64	NA	3	22	1993	2016
Agathymus aryxna	129.874	NA	NA	NA	NA	133.3	1.857	9324	9322	-2	-3.92	-0.07341	3.847	-14.22	-29.05	3.701	32.75	NA	1	11	2007	2018
Agraulis vanillae	1.542	0.829117025037367	0	-0.0782471982584859	0.329637510542911	2.708	0.7805	7.931	7.098	0.6622	0.2198	1.0934	0.9383	3.481	-4.054	11.935	15.242	NA	185	26	1993	2018
Agriades glandon	1.285	0.73	5.46828216269687e-05	-0.655384615384615	0.000513564719452504	5.843	1.699	20.18	18.38	-0.2082	-0.80638	0.41	1.326	-1.679	-7.743	6.7965	13.407	NA	26	26	1993	2018
Aguna asander	122.897	NA	NA	NA	NA	1.004	0.06256	15.96	15.9	0.05798	-0.7179	0.8375	1.555	-2.221	-23.47	24.88	48.36	NA	1	17	1995	2016
Amblyscirtes aenus	1.44	0.975757575757576	0	-0.83030303030303	0.00555680454585395	5.681	0.5017	65.61	65.16	-0.06327	-0.7249	0.6411	1.37	1.089	-6.562	9.484	14.9	NA	10	26	1993	2018
Amblyscirtes aesculapius	2.029	0.624969987995198	2.20311734554982e-06	-0.13171668667467	0.360765357371966	1.202	0.449	3.229	2.789	0.2395	-0.167462	0.6664	0.8162	1.071	-6.682	9.008	16.189	NA	56	26	1993	2018
Amblyscirtes alternata	84.699	1	0	-0.776223776223776	0.0046598806161296	2.827	0.4343	17.95	17.53	-0.08502	-0.6121	0.4458	1.0849	3.157	-5.697	12.86	18.96	NA	12	26	1993	2018
Amblyscirtes belli	5.992	0.960474308300395	2.53196758818067e-06	-0.892292490118577	3.12714329116389e-06	2.042	0.5838	7.066	6.477	0.016013	-0.3543	0.3503	0.6935	1.3244	-8.403	10.717	20.594	NA	23	26	1993	2018
Amblyscirtes carolina	2.334	0.928571428571428	0.00674603174603175	-0.964285714285714	0.00277777777777778	0.02446	0.000349	1.768	1.768	1.48	0.124853	2.745	2.534	-5.5882	-17.67	8.74	25.31	NA	7	26	1993	2018
Amblyscirtes cassus	1.71	0.828571428571429	0.0583333333333333	-0.771428571428571	0.102777777777778	0.08898	0.005923	1.287	1.28	0.9035	0.1852	1.606	1.37	-3.931	-9.329	2.271	11.49	NA	6	26	1993	2018
Amblyscirtes celia	2.057	0.982417582417582	0	-0.696703296703297	0.00734326500243057	1.756	0.4989	6.389	5.879	0.2785	-0.2433	0.7685	1.0305	-0.8244	-7.431	7.3879	15.04	NA	15	26	1993	2018
Amblyscirtes elissa	2.265	1	0.0833333333333333	-0.8	0.333333333333333	0.2306	0.004798	12.95	12.95	1.155	0.0946	2.185	2.028	11.21	3.1577	20.07	16.91	NA	4	26	1993	2018
Amblyscirtes eos	3.511	0.975757575757576	0	-0.527272727272727	0.12280318761783	1.248	0.1252	11.49	11.36	0.2557	-0.3735	0.9515	1.288	3.6149	-4.321	12.777	16.958	NA	10	26	1993	2018
Amblyscirtes exoteria	1.809	0.9	0.0833333333333333	-0.3	0.683333333333333	0.2727	0.01689	3.515	3.496	0.7255	0.06151	1.441	1.37	-5.072	-9.557	-0.73235	9.614	NA	5	26	1993	2018
Amblyscirtes fimbriata	1.228	1	1	-1	1	5.037	0.06209	443.4	443.3	0.3214	-1.0127	1.629	2.642	3.2204	-3.655	10.809	14.46	NA	2	26	1993	2018
Amblyscirtes hegon	6.193	0.930541871921182	1.74788146345539e-07	-0.809852216748768	1.37432171418786e-06	0.6977	0.2116	2.381	2.17	0.3054	-0.08017	0.6558	0.7378	-0.7465	-6.365	5.862	12.54	NA	30	26	1993	2018
Amblyscirtes nereus	7.91	1	0.0833333333333333	0.8	0.333333333333333	1.195	0.03774	24.74	24.7	0.2522	-0.5572	1.129	1.694	0.007197	-5.064	5.52575	10.249	NA	4	26	1993	2018
Amblyscirtes nysa	3.017	0.788819875776397	1.78899388354873e-05	0.0988142292490119	0.66085640735667	0.9912	0.2477	3.851	3.609	0.2175	-0.2838	0.6916	0.9275	-0.03694	-5.612	5.563	11.273	NA	23	26	1993	2018
Amblyscirtes oslari	3.532	0.928571428571428	0.00674603174603175	-0.964285714285714	0.00277777777777778	0.4212	0.0129	18.98	18.97	0.2905	-0.6917	1.254	1.988	-2.762	-10.061	5.5505	14.93	NA	7	26	1993	2018
Amblyscirtes phylace	154.017	1	1	1	1	0.1406	0.0023	7.598	7.595	0.1815	-1.334	1.828	3.162	-12.38	-22.61	0.32	22.93	NA	2	25	1993	2018
Amblyscirtes reversa	2.209	0.892857142857143	0.0123015873015873	-0.5	0.266666666666667	0.003244	4.413e-05	0.2271	0.227	1.585	0.4493	2.722	2.279	-13.341	-27.27	1.128	29.63	NA	7	26	1993	2018
Amblyscirtes texanae	9.726	0.7	0.233333333333333	0.7	0.233333333333333	0.6556	0.04106	10.072	10.028	0.5547	-0.2599	1.402	1.646	4.297	-1.08145	10.419	12.361	NA	5	26	1993	2018
Amblyscirtes tolteca	1.198	1	1	-1	1	4.431	1.212e-05	1440543	1440543	0.1259	-2.946	3.218	6.164	4.573	-13.71	28.43	42.13	NA	2	26	1993	2018
Amblyscirtes vialis	3.29	0.436787268563649	6.47831181105784e-07	-0.223351981521441	0.0135511360360334	1.134	0.5937	2.037	1.462	0.1939	-0.15673	0.5531	0.6972	-0.7136	-5.046	4.2017	9.248	NA	128	26	1993	2018
Anaea aidea	2.726	0.966666666666667	0.000165343915343915	0.6	0.0967978395061728	1.46	0.144	14.1	13.95	0.3807	-0.39286	1.1263	1.406	6.133	-3.784	16.65	18.84	NA	9	26	1993	2018
Anaea andria	1.594	0.735462173898847	0	-0.620879180679357	0	1.419	0.6342	2.862	2.226	0.3026	-0.06946	0.7051	0.7835	0.4491792	-3.422	4.989	8.5	NA	91	26	1993	2018
Anaea floridalis	52.817	1	0.333333333333333	0.5	1	63.2	1.043	3302	3301	-1.147	-2.757	0.4868	3.243	8.85	-2.3302	20.97	23.3	NA	3	26	1993	2018
Anaea pithyusa	12.401	NA	NA	NA	NA	0.2795	0	Inf	Inf	-0.2765	-17611	17582	35193	-53.74	-100	Inf	Inf	NA	1	17	1995	2016
Anartia fatima	1.581	1	1	-1	1	0.05279	0.0007567	3.758	3.757	1.428	0.2419	2.594	2.352	-4.863	-20.01	13.914	33.92	NA	2	22	1993	2016
Anartia jatrophae	1.207	0.66892177589852	1.4987145269247e-06	-0.288794926004228	0.0576228474041256	3.816	1.1306	11.409	9.743	0.6822	0.13127	1.098	0.9517	3.42	-6.748	11.88	18.102	NA	58	26	1993	2018
Anatrytone logan	1.726	0.802921279212792	0	-0.367347997009382	5.91729414757222e-10	1.03	0.6652	1.556	0.8825	0.5365	0.2225	0.8415	0.6171	0.31463	-4.866	5.631	10.135	NA	320	26	1993	2018
Ancyloxypha arene	1.894	1	0.00277777777777778	-0.828571428571429	0.0583333333333333	1.582	0.02924	113.7	113.7	-0.024711	-1.0704	0.9627	2.002	-5.845	-13.74	6.533	19.74	NA	6	26	1993	2018
Ancyloxypha numitor	1.333	0.66584576876899	0	0.244258671671626	1.31829986232489e-05	1.41	0.8144	2.323	1.535	0.5494	0.2173	0.87	0.6403	-0.05862	-4.9216	5.077	10.182	NA	375	26	1993	2018
Anteos clorinde	42.684	0.738095238095238	0.0458333333333333	-0.642857142857143	0.0961805555555556	1.493	0.06292	30.44	30.37	-0.019103	-0.7854	0.8189	1.626	-2.496	-11.21	7.778	18.22	NA	8	26	1993	2018
Anteos maerula	60.63	1	0.333333333333333	-1	0.333333333333333	1.0033	0.002794	332.7	332.7	0.08842	-1.308	1.509	2.814	0.267	-17.26	19.41	34.92	NA	3	26	1993	2018
Anthocharis cethura	5.237	0.8	0.333333333333333	1	0.0833333333333333	25.33	0.3154	2159	2159	-0.32686	-1.505	0.7824	2.416	3.2819	-9.541	19.28	31.71	NA	4	26	1993	2018
Anthocharis lanceolata	1.565	0.942857142857143	0.0166666666666667	-0.828571428571429	0.0583333333333333	3.951	0.1667	120.1	119.9	-0.08511	-1.259	0.9488	2.189	-3.295	-11.16	5.769	17.38	NA	7	26	1993	2018
Anthocharis midea	1.465	0.987878787878788	0	-0.0303030303030303	0.945709808351989	0.1411	0.0153	1.257	1.241	1.0508	0.3352	1.839	1.442	-14.552	-33.3	9.922	42.81	NA	11	24	1995	2018
Anthocharis sara	1.29	0.874585111427217	0	-0.674727358937885	8.34698841148531e-06	0.7338	0.2363	2.232	1.992	0.5101	-0.0645	1.0269	1.0518	-3.203	-7.637	2.3026	9.964	NA	40	26	1993	2018
Apodemia hepburni	11.532	NA	NA	NA	NA	0.5737	0	Inf	Inf	-0.2782	-19397	19380	38777	-9.399	-100	Inf	Inf	NA	1	26	1993	2018
Apodemia mormo	1.269	0.964285714285714	0	0.485714285714286	0.0688280349342151	1.005	0.1778	5.246	5.087	0.524	-0.09111	1.1307	1.209	-0.3765	-7.616	5.861	13.53	NA	16	26	1993	2018
Apodemia nais	1.191	0.942857142857143	0.0166666666666667	-0.828571428571429	0.0583333333333333	0.1627	0.018	1.294	1.276	1.069	0.4338	1.697	1.263	-3.2496	-10.055	4.888	15.97	NA	6	26	1993	2018
Apodemia palmeri	0.684	1	0.000396825396825397	-0.857142857142857	0.0238095238095238	0.3566	0.01114	12.41	12.4	0.7771	-0.251491	1.761	2.006	-3.579	-11.338	5.6079	17.08	NA	7	26	1993	2018
Appias drusilla	1.713	0.975438596491228	8.08462348806336e-06	0.214035087719298	0.377288850467892	0.8681	0.1358	5.447	5.305	0.3606	-0.254	1.0052	1.299	-6.15215	-15.007	4.516	18.52	NA	23	26	1993	2018
Asbolis capucinus	3.832	0.941434044882321	2.47045437268467e-07	0.228790366721401	0.240511086568441	0.6045	0.2815	1.269	0.9894	0.5439	0.21243	0.8617	0.6496	0.2033	-4.3237	4.823	9.379	NA	38	26	1993	2018
Ascia monuste	0.856	0.855793275909975	0	0.0928035565434843	0.479648392895908	4.228	1.362	11.95	10.625	0.32708	-0.24076	0.8563	1.2401	3.3597	-6.703	12.95	19.24	NA	75	26	1993	2018
Asterocampa celtis	1.329	0.344169827222925	1.42525712121557e-07	-0.0276411715128529	0.679831010293644	1.8572	0.5272	6.524	6.069	0.33926	-0.09284	0.7472	0.8218	-0.9319	-7.333	5.593	13.06	NA	251	26	1993	2018
Asterocampa clyton	1.113	0.664277827435722	0	-0.241963299858037	0.0004315558818359	1.119	0.644	1.94	1.295	0.4258	0.01803	0.8115	0.789	-0.06087	-6.633	6.874	13.537	NA	234	26	1993	2018
Asterocampa leilia	1.148	0.725274725274725	0.00689166372954841	0.0274725274725275	0.934992302718378	20.43	2.436	154.6	152.2	-0.13045	-0.8936	0.5436	1.472	1.4668	-8.96	11.954	20.004	NA	13	26	1993	2018
Astraptes fulgerator	121.582	1	1	-1	1	0.1136	0.007007	1.834	1.827	0.8432	0.01321	1.685	1.671	-5.182	-14.32	5.372	19.69	NA	2	22	1993	2016
Atalopedes campestris	1.018	0.562709248222823	0	0.160401322618904	0.014964800427976	1.8182	0.4878	6.613	6.036	0.37355	-0.08819	0.8377	0.9144	-0.5503	-6.169	5.5	11.359	NA	264	26	1993	2018
Atlides halesus	2.806	0.658712267972245	0	0.0299918988411821	0.781107500527077	0.7588	0.3561	1.601	1.249	0.313	-0.027198	0.6505	0.6659	0.5498	-2.465	3.955	6.373	NA	97	26	1993	2018
Atlides rustan	118.998	NA	NA	NA	NA	0.9999	0.1028	9.687	9.585	-1.153e-05	-0.726	0.7251	1.451	-0.0002411	-15.43	18.23	33.66	NA	1	25	1993	2018
Atrytone arogos	1.025	0.691176470588235	0.0028376839991202	-0.0637254901960784	0.809389056534401	1.663	0.1267	20.4	20.28	0.30492	-0.6654	1.2794	1.954	-2.8293	-12.014	6.584	19.03	NA	17	26	1993	2018
Atrytonopsis cestus	117.108	NA	NA	NA	NA	45474002937300	8.279e-16	2.34949351865e+42	2.34949351865e+42	-6.913	-22.24	8.397	30.64	122.6	-62.26	1211	1273	NA	1	9	1993	2001
Atrytonopsis edwardsii	1.742	0.942857142857143	0.0166666666666667	-0.657142857142857	0.175	0.02745	0.0004913	1.181	1.18	1.263	0.1454	2.359	2.145	-3.1627	-13.289	8.353	22.87	NA	6	26	1993	2018
Atrytonopsis hianna	2.111	0.942857142857143	5.127332688871e-06	-0.525974025974026	0.0155945610468304	0.7042	0.06876	5.929	5.86	0.4735	-0.3382	1.406	1.816	1.874	-8.523	15.381	24.12	NA	21	26	1993	2018
Atrytonopsis lunus	2.648	0.4	0.75	0.4	0.75	0.08147	0.002417	2.797	2.794	0.7933	-0.10481	1.689	1.794	-5.412	-9.155	-1.2615	7.631	NA	4	26	1993	2018
Atrytonopsis pittacus	161.146	1	1	-1	1	0.000168	2.998e-08	1.165	1.165	2.647	0.7353	4.524	3.789	4.501	-9.082	19.77	28.85	NA	2	24	1993	2018
Atrytonopsis vierecki	22.533	NA	NA	NA	NA	0.3172	0	Inf	Inf	-0.2048	-14060	14047	28107	-7.388	-100	Inf	Inf	NA	1	18	1993	2010
Autochton cellus	1.317	0.961538461538462	0	-0.510989010989011	0.0775693109322543	5.913	0.7494	41.96	41.21	0.182839	-0.44652	0.9141	1.2715	7.082	0.4063	13.59	15.01	NA	14	26	1993	2018
Battus philenor	1.562	0.647637871742434	0	0.0775509271424818	0.252903346544549	1.7816	0.5538	5.474	4.897	0.45117	0.04211	0.8513	0.8398	1.1085	-4.967	7.676	12.344	NA	257	26	1993	2018
Battus polydamas	2.205	0.72972972972973	1.39354911321126e-06	0.00205920205920206	0.991036371736148	2.55	1.1051	5.762	4.602	0.19477	-0.319	0.6511	0.9506	1.0835	-5.91	10.1531	14.464	NA	47	26	1993	2018
Biblis hyperia	87.164	-1	1	-1	1	0.9915	1.688e-195	8.10744757464e+194	8.10744757464e+194	-0.001686	-89.47	89.52	179	-0.02815	-100	170429649	170429749	NA	2	22	1993	2016
Boloria bellona	1.133	0.0702642378860969	0.360770249520574	0.0829049367605059	0.280716818160532	1.785	0.9101	3.276	2.434	0.48434	-0.009569	0.9377	0.8975	0.1999	-5.401	6.095	11.354	NA	201	26	1993	2018
Boloria chariclea	1.591	0.987878787878788	0	-0.139393939393939	0.707203785571239	6.052	0.5437	51.68	51.15	-0.2941	-1.3649	0.8531	2.188	-2.5619	-12.5	14.57	24.975	NA	10	26	1993	2018
Boloria epithore	1.97	0.885714285714286	0	-0.731868131868132	0.00412880457631142	4.594	1.2059	16.73	15.59	0.3967	-0.13953	0.8799	1.05	0.2865	-6.139	5.822	13.214	NA	15	26	1993	2018
Boloria eunomia	95.175	1	0.000396825396825397	-0.964285714285714	0.00277777777777778	2.638	0.1903	69.95	69.75	-0.2094	-1.338	0.7265	2.106	-0.4121	-11.263	23.903	35.16	NA	7	26	1993	2018
Boloria freija	1.696	0.8	0.333333333333333	0.4	0.75	0.09675	0.004919	1.892	1.887	1.866	0.14444	3.548	3.428	-3.3128	-14.11	10.495	25.92	NA	4	26	1993	2018
Boloria frigga	7.573	0.5	1	0.5	1	0.001857	1.757e-06	1.788	1.788	3.462	0.013947	6.949	6.936	-1.1175	-11.84	10.602	21.89	NA	3	26	1993	2018
Boloria kriemhild	3.691	1	1	1	1	3.331	0.06464	159.7	159.7	0.12757	-1.53	1.824	3.354	1.7281	-9	14.728	23.73	NA	2	24	1993	2018
Boloria napaea	119.049	NA	NA	NA	NA	1.092	0.06484	18.89	18.83	0.08705	-1.422	1.606	3.028	-2.397	-23.42	24.38	47.81	NA	1	17	1999	2018
Boloria selene	1.459	0.86462809582633	0	0.312642514327373	0.00074816178460402	1.153	0.6568	1.982	1.312	0.4393	0.16167	0.7039	0.5511	-0.79862	-5.25	4.166	9.575	NA	124	26	1993	2018
Brephidium exile	0.947	0.318108085033723	0.0219595365484326	-0.119183812857509	0.398918957227417	3.394	1.0549	10.774	9.77	0.3553	-0.3591	0.9935	1.3519	2.355	-8.069	15.67	22.916	NA	58	26	1993	2018
Brephidium isophthalma	0.995	0.971104231166151	7.759101784146e-06	-0.529411764705882	0.0256784893216006	31.29	3.838	249.3	245.7	-0.08872	-0.8542	0.665	1.579	7.6696	-6.419	24.364	27.42	NA	21	26	1993	2018
Cabares potrillo	94.668	1	0.333333333333333	-1	0.333333333333333	6.382	0.01921	1499	1499	-0.8451	-3.029	1.313	4.342	-16.29	-46.22	31.62	79.72	NA	3	26	1993	2018
Calephelis arizonensis	2.271	1	0.0833333333333333	-0.8	0.333333333333333	0.008178	0.0001175	0.6187	0.6186	1.35	0.2263	2.454	2.178	-7.813	-13.54	-0.2912	12.729	NA	4	26	1993	2018
Calephelis borealis	1.788	0.934065934065934	0	-0.368131868131868	0.216629806809432	1.519	0.3931	6.247	5.915	0.5575	-0.03611	1.0782	1.0936	3.505	-1.8573	10.907	12.079	NA	13	26	1993	2018
Calephelis mutica	3.096	0.8	0.333333333333333	-0.4	0.75	0.1779	0.01568	2.004	1.99	1.259	0.2304	2.285	2.001	1.20246	-11.709	16.01	26.29	NA	4	26	1993	2018
Calephelis nemesis	1.345	0.947252747252747	0	0.287912087912088	0.317559280210174	2.131	0.7235	6.277	5.53	0.5461	0.12425	0.8687	0.7652	3.47	-1.6589	9.486	10.301	NA	14	26	1993	2018
Calephelis perditalis	2.151	1	0.0166666666666667	-0.9	0.0833333333333333	0.8091	0.06204	10.23	10.17	0.4716	-0.4015	1.499	1.901	-5.389	-14.75	4.985	20.33	NA	5	24	1993	2016
Calephelis rawsoni	141.009	NA	NA	NA	NA	488.6	0.004687	50259044	50259044	-4.284	-11.59	3.021	14.62	-41.14	-69.89	14.98	84.87	NA	1	13	2004	2016
Calephelis virginiensis	1.759	0.626466275659824	0.000173314825179344	-0.101539589442815	0.578914045708757	0.7852	0.2428	2.393	2.145	0.5299	0.09845	0.9669	0.8997	-1.3286	-8.4117	6.91	15.413	NA	37	26	1993	2018
Calephelis wrighti	3.149	1	0.0166666666666667	-0.9	0.0833333333333333	0.5159	0.003346	23.91	23.9	0.5706	-0.5905	2.247	2.734	-4.672	-14.6	5.279	19.88	NA	5	26	1993	2018
Callophrys augustinus	2.394	0.576695567620128	8.64912636926507e-05	-0.263754963131027	0.091565995376115	1.096	0.4453	2.58	2.142	0.2399	-0.09064	0.5478	0.633	-3.036	-6.744	1.8214	8.145	NA	46	26	1993	2018
Callophrys dumetorum	2.465	0.934500282326369	4.11383298529498e-06	-0.74703557312253	9.97165593879151e-05	0.9529	0.2724	3.105	2.808	0.2789	-0.20538	0.7314	0.908	-2.965	-7.731	3.541	11.323	NA	24	26	1993	2018
Callophrys eryphon	1.353	0.847374847374847	1.60912643697409e-06	-0.523199023199023	0.00570999585924962	1.091	0.3701	3.469	3.103	0.2799	-0.15647	0.635	0.7916	-3.877	-9.023	1.9842	10.802	NA	29	26	1993	2018
Callophrys fotis	119.477	NA	NA	NA	NA	1.078	0.088	13.46	13.37	0.05924	-0.9393	1.062	2.001	-4.937	-15.99	7.588	23.58	NA	1	23	1993	2018
Callophrys gryneus	1.178	0.922932914308851	0	-0.187926696422546	0.0232465771642303	1.873	0.6485	4.669	4.008	0.17713	-0.2108	0.5516	0.7874	-0.1676	-6.653	6.89	13.443	NA	161	26	1993	2018
Callophrys henrici	7.719	0.936363636363636	0	-0.9	0.000225324584283125	4.178	0.6274	28.87	28.3	-0.4325	-1.0492	0.1522	1.176	-10.256	-25.68	5.301	28.75	NA	12	25	1994	2018
Callophrys hesseli	92.778	-1	0.0166666666666667	0.6	0.35	0.9999	0.005047	197.1	197.1	-4.184e-05	-2.067	2.066	4.133	-0.0005569	-21.85	27.97	49.82	NA	5	26	1993	2018
Callophrys irus	1.928	0.8	0.333333333333333	-0.8	0.333333333333333	6.562	0.2405	157	156.7	0.0637707	-0.9872	1.066	2.09	-9.187	-45.06	26.11	74.72	NA	4	25	1994	2018
Callophrys johnsoni	2.931	0.8	0.333333333333333	-0.4	0.75	0.1868	0.0009094	38.63	38.63	0.7361	-0.7328	2.293	2.997	-2.754	-12.15	7.107	19.26	NA	4	26	1993	2018
Callophrys mossii	64.377	1	0.333333333333333	-1	0.333333333333333	2.261	0.001115	12233	12233	-0.05745	-3.325	2.688	6.031	0.8287	-11.274	17.99	29.26	NA	3	25	1993	2018
Callophrys niphon	1.212	0.817193675889328	2.78714022883248e-06	-0.494071146245059	0.0177166570527933	2.092	0.3052	14.23	13.91	0.07648	-0.64832	0.8671	1.46	-0.249	-11.064	14.459	23.72	NA	24	26	1993	2018
Callophrys polios	1.708	0.933333333333333	0.000749559082892416	-0.416666666666667	0.269582231040564	5.232	0.4951	54.09	53.6	0.007212	-0.8692	0.8487	1.812	3.737	-7.787	17.75	22.78	NA	9	26	1993	2018
Callophrys sheridanii	1.773	0.983333333333333	4.96031746031746e-05	-0.466666666666667	0.212522045855379	2.453	0.2035	17.75	17.53	-0.018915	-0.6858	0.7911	1.531	-2.778	-9.097	3.719	14.106	NA	9	26	1993	2018
Callophrys spinetorum	3.864	0.96034188034188	5.44076649146371e-07	0.0543589743589744	0.791745412823949	0.7122	0.2578	1.945	1.679	0.3642	-0.05171	0.7127	0.7559	-1.1487	-7.3249	6.335	11.982	NA	28	26	1993	2018
Callophrys xami	122.4	1	1	-1	1	1.504	0.1405	17.01	16.87	0.1126	-0.7334	0.9577	1.691	1.2071	-20.85	26.1	46.95	NA	2	20	1993	2018
Calpodes ethlius	2.28	0.409478021978022	0.000859213410797872	-0.478021978021978	7.92261460797188e-05	0.8176	0.3685	1.791	1.426	0.4177	0.04601	0.7846	0.7441	0.2115	-3.959	4.134	7.805	NA	77	26	1993	2018
Calycopis cecrops	1.124	0.478562975256077	1.24770980823646e-10	-0.124650061893815	0.111713894529313	1.677	0.7612	3.388	2.652	0.374	-0.009437	0.7467	0.738	-0.1774	-5.176	5.5179	10.639	NA	198	26	1993	2018
Calycopis isobeon	1.002	0.894974590626765	3.30152110675583e-06	-0.695087521174478	0.000471234524699955	4.677	1.196	17.97	16.8	0.201	-0.3993	0.773	1.163	0.91672	-5.23	8.127	13.47	NA	26	26	1993	2018
Caria ino	1.433	0.5	1	-0.5	1	7.007	0.5293	96.14	95.64	0.0731	-0.8922	0.949	1.809	0.5827	-6.396	10.765	19.61	NA	3	22	1993	2016
Carterocephalus palaemon	1.768	0.701224489795918	6.21770010158405e-08	-0.105882352941176	0.463106280259127	0.9902	0.3599	2.6	2.238	0.2668	-0.2213	0.7191	0.9439	-2.922	-8.316	3.238	11.78	NA	52	26	1993	2018
Celastrina ladon	1.45	0.60108191555997	0	0.0890463958292472	0.103208162633439	1.8584	0.81112	4.235	3.447	0.564	0.2367	0.9041	0.6708	0.7574	-3.431	5.236	8.451	NA	400	26	1993	2018
Celastrina neglectamajor	1.023	0.917857142857143	0	-0.728571428571428	0.00292670797361973	0.969	0.0568	15.95	15.89	0.4553	-0.3804	1.29	1.684	0.1926	-11.078	12.966	23.16	NA	15	26	1993	2018
Celotes nessus	1.696	0.963636363636364	0	-0.406060606060606	0.247370787611931	0.08179	0.007978	0.8424	0.8344	0.9752	0.27784	1.639	1.364	-4.894	-12.356	2.2391	13.806	NA	10	26	1993	2018
Cercyonis meadii	2.305	1	1	1	1	21.07	0.7484	561.9	561.1	-0.9852	-2.417	0.4528	2.87	-5.424	-16.15	6.483	22.63	NA	2	22	1993	2016
Cercyonis oetus	1.037	0.803503010399562	1.8030395329142e-06	0.197591680350301	0.312068920854519	6.27	1.905	20.47	18.63	0.3696	-0.33942	0.9887	1.274	2.3028	-6.75	11.0689	17.47	NA	29	26	1993	2018
Cercyonis pegala	1.24	0.677280824738452	0	-0.159605676554829	0.00597013862195475	3.747	1.3857	9.505	8.231	0.48938	0.04052	0.9327	0.8899	-1.77809	-7.334	3.914	11.131	NA	348	26	1993	2018
Cercyonis sthenele	1.046	0.844861660079052	1.75994106047796e-06	-0.284584980237154	0.187578018335185	0.3851	0.095	1.505	1.411	0.9522	0.26904	1.583	1.2524	-2.9194	-11.66	7.193	17.57	NA	26	26	1993	2018
Chioides catillus	1.247	0.974436090225564	6.56063744627041e-06	-0.864661654135338	0	1.479	0.4	5.581	5.191	0.46829	-0.084408	1.0546	1.1226	-1.566	-7.826	5.628	13.29	NA	23	26	1993	2018
Chioides zilpa	71.56	1	1	-1	1	6.2e-06	1.271e-11	1.797	1.797	1.801	-0.09368	3.704	3.798	-44.02	-73.83	14.714	88.54	NA	2	22	1993	2016
Chiomara asychis	1.541	1	0.333333333333333	-1	0.333333333333333	234	0.5458	73491	73490	-0.1068	-1.551	1.392	2.943	22.29	4.1114	42.59	38.39	NA	3	26	1993	2018
Chlorostrymon maesites	116.778	NA	NA	NA	NA	0.003864	3.76e-10	39136	39136	1.936	-3.384	7.251	10.63	-42.27	-82.24	87.52	169.8	NA	1	22	1997	2018
Chlorostrymon simaethis	2.748	1	0.0166666666666667	-0.9	0.0833333333333333	0.8846	0.01892	27.46	27.44	0.411	-0.9685	2.013	2.992	-4.7105	-16.34	9.535	26.11	NA	6	25	1993	2017
Chlosyne acastus	2.527	0.976190476190476	0.000396825396825397	-0.785714285714286	0.0279265873015873	3.42	0.1883	50.19	50.02	0.4357	-0.329	1.402	1.722	7.963	-2.0686	20.61	23.93	NA	8	26	1993	2018
Chlosyne californica	1.17	1	0.00277777777777778	-0.771428571428571	0.102777777777778	0.6579	0.004505	78.46	78.45	0.8682	-0.5393	2.313	2.94	6.5212	-11.584	33.17	41.3	NA	6	26	1993	2018
Chlosyne cyneas	5.516	-1	1	-1	1	9.042	0.04309	2620	2620	-0.2316	-1.498	0.9795	2.478	2.803	-8.008	19.524	27.53	NA	2	26	1993	2018
Chlosyne fulvia	7.329	0.942857142857143	0.0166666666666667	-0.828571428571429	0.0583333333333333	0.4208	0.01905	11.65	11.63	0.5653	-0.2926	1.324	1.59	-1.688	-11.805	10.089	22.15	NA	6	26	1993	2018
