Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Erynnis martialis	2.534	0.958543417366947	0	-0.860504201680672	4.18089255119984e-08	1.13	0.2113	4.699	4.495	0.1955	-0.2573	0.7295	0.9918	-0.993	-5.4	4.285	9.545	NA	35	26	1993	2018
Erynnis meridianus	4.614	0.885714285714286	0.0333333333333333	-0.828571428571429	0.0583333333333333	0.995	0.06565	14.68	14.62	0.04698	-0.7726	0.803	1.568	-4.702	-16.79	9.784	27.64	NA	7	26	1993	2018
Erynnis pacuvius	2.544	0.8003663003663	2.29669029165501e-06	-0.101953601953602	0.611548070609454	1.667	0.6312	4.334	3.7	0.2675	-0.16509	0.6429	0.771	-0.4555	-5.736	6.5392	11.793	NA	30	26	1993	2018
Erynnis persius	1.582	0.878008021390374	8.28539180269884e-08	-0.688502673796791	1.6236435901904e-05	2.584	1.05	6.382	5.306	0.2112	-0.21097	0.5706	0.7874	0.16593	-3.192	3.768	7.169	NA	35	26	1993	2018
Erynnis propertius	2.178	0.961739130434783	1.59398083449843e-06	-0.447826086956522	0.0293599047821713	1.287	0.4334	3.775	3.338	0.3141	-0.0886	0.68	0.7997	-1.8868	-6.688	3.7088	10.797	NA	30	26	1993	2018
Erynnis scudderi	93.73	1	0.333333333333333	-1	0.333333333333333	0.2719	1.104e-05	6637	6637	0.354	-2.188	2.893	5.077	-2.292	-15.64	18.884	34.52	NA	3	26	1993	2018
Erynnis telemachus	10.33	1	0.333333333333333	-0.5	1	0.06984	0.0003553	16.48	16.48	1.882	-0.7781	4.461	5.239	2.1221	-8.858	15.64	24.2	NA	3	22	1993	2016
Erynnis tristis	1.766	0.709224598930481	7.4205112160287e-06	-0.140708556149733	0.433221745673756	1.528	0.4996	3.612	3.097	0.3747	0.093605	0.6979	0.6213	-1.0815	-5.074	2.6332	7.77	NA	39	26	1993	2018
Erynnis zarucco	1.922	0.234935988620199	0.042688980965777	0.366344238975818	0.00131534472915258	1.104	0.5319	2.326	1.806	0.435	0.003611	0.8682	0.8482	0.5891	-6.479	8.083	14.25	NA	88	26	1993	2018
Euchloe ausonides	1.729	0.911096256684492	0	-0.800467914438503	5.80415124669712e-07	0.8683	0.3627	2.067	1.712	0.3492	0.019224	0.6485	0.6227	-4.513	-7.879	-0.3785	7.54	NA	37	26	1993	2018
Euchloe hyantis	2.591	0.923076923076923	0	-0.475524475524476	0.121319356446693	1.093	0.116	10.58	10.46	0.4123	-0.377744	1.0904	1.405	2.49	-6.261	13.633	20.38	NA	13	26	1993	2018
Euchloe olympia	1.35	0.883333333333333	0.00307539682539683	-0.733333333333333	0.0311232363315697	13.99	0.8784	253.5	252.7	0.03126	-0.9405	0.9834	1.84	8.087	-4.47	22.23	26.35	NA	9	26	1993	2018
Eueides isabella	19.459	NA	NA	NA	NA	0.0534	0	Inf	Inf	-0.4386	-26579	26541	53120	-15.58	-100	Inf	Inf	NA	1	16	1993	2010
Eumaeus atala	0.785	0.9	0.0833333333333333	0.3	0.683333333333333	61.87	7.226	476	469.1	0.06328	-0.5618	0.8057	1.391	7.647	-1.8361	13.36	15.19	NA	8	26	1993	2018
