Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Lycaena	xanthoides	Lycaenidae	Lycaeninae	yes	natural	G4							cryptic	yes		May to mid-August (south not specified)	May to mid-August (north not specified)	nectar	33	44	38.5	aposematic
Marpesia	chiron	Nymphalidae	Limenitidinae	yes	natural	G5						singly	aposematic	yes		May-December in Mexico, February and July-October in South Texas.	probably all year in Central America	nectar	54	67	60.5	aposematic
Marpesia	petreus	Nymphalidae	Limenitidinae	yes	natural	G5							aposematic	yes		Most of the year	Most of the year	nectar	70	95	82.5	cryptic
Megathymus	cofaqui	Hesperiidae	Megathyminae	yes	natural	G3	larva	1	2	1	2	singly				Florida from March-November	Georgia from July-September	mud	50	63	56.5	cryptic
Megathymus	streckeri	Hesperiidae	Megathyminae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	no		May-July (south not specified)	May-July (north not specified)	mud	57	78	67.5	cryptic
Megathymus	ursus	Hesperiidae	Megathyminae	yes	natural	G4	larva	1	1	1	1	singly				May-August (south not specified)	May-August (north not specified)	mud	63	76	69.5	aposematic
Megathymus	yuccae	Hesperiidae	Megathyminae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	no		mid-February to mid-May (south not specified)	mid-February to mid-May (north not specified)	mud	48	79	63.5	aposematic
Megisto	cymela	Nymphalidae	Satyrinae	yes	both	G5	larva	2	3	1	1	singly	cryptic	yes		March-September	June-July	sap, honeydew	38	48	43.0	aposematic
Megisto	rubricata	Nymphalidae	Satyrinae	yes	natural	G5	larva	2	2	2	2		cryptic	no		April-September (south not specified)	April-September (north no specified)		35	48	41.5	aposematic
Melanis	pixe	Riodinidae	Riodininae	yes	both	G5						clutches	aposematic	yes		January-November in South Texas		nectar	38	44	41.0	aposematic
Mestra	amymone	Nymphalidae	Biblidinae	yes	natural	G5							cryptic	yes		throughout year	throughout year	nectar	35	50	42.5	aposematic
Microtia	elva	Nymphalidae	Nymphalinae	yes	natural	G5							cryptic	yes		throughout year in tropics	throughout year in tropics	nectar	25	37	31.0	aposematic
Ministrymon	azia	Lycaenidae	Theclinae	yes	both	G5										March-September in Florida and Texas	March-September in Florida and Texas	nectar	16	24	20.0	aposematic
Ministrymon	clytie	Lycaenidae	Theclinae	yes	natural	G5										February-December in South Texas	February-December in South Texas	nectar	19	22	20.5	aposematic
Ministrymon	leda	Lycaenidae	Theclinae	yes	natural	G5		2	2	2	2	singly				October-November (south not specified)	October-November (north no specified)	nectar	19	22	20.5	aposematic
Morpho	polyphemus	Nymphalidae	Morphinae	yes	natural							singly	aposematic	yes		May-November in Mexico	May-November in Mexico	rotting fruit	114.3	146.05	130.2	cryptic
Myscelia	cyananthe	Nymphalidae	Biblidinae	yes	natural	G5										Many flights throughout the year in Mexico	Many flights throughout the year in Mexico	rotting fruit	51	64	57.5	aposematic
Myscelia	ethusa	Nymphalidae	Biblidinae	yes	natural	G5							cryptic	yes		 Many flights throughout the year in South Texas	 Many flights throughout the year in South Texas	rotting fruit	64	76	70.0	aposematic
Nastra	julia	Hesperiidae	Hesperiinae	yes	both	G5							cryptic	no		April-October	April-October	nectar	24	29	26.5	cryptic
Nastra	lherminier	Hesperiidae	Hesperiinae	yes	both	G5		2	2	2	2					May-September (south no specified)	May-September (north not specified)	nectar	25	29	27.0	cryptic
Nastra	neamathla	Hesperiidae	Hesperiinae	yes	natural	G5		3	3	3	3					February-October (south not specified)	February-October (north not specified)	nectar	22	29	25.5	cryptic
Nathalis	iole	Pieridae	Coliadinae	yes	both	G5	adult					singly	cryptic	yes				nectar	20	32	26.0	cryptic
Neominois	ridingsii	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	no		June-July (south not specified)	June-July (north not specified)	nectar	38	56	47.0	aposematic
Neonympha	areolata	Nymphalidae	Satyrinae	yes	natural	G3	larva	1	2	1	2	singly				June-July, April-September (south not specified)	June-July, April-September (north not specified)		37	49	43.0	cryptic
Neonympha	mitchellii	Nymphalidae	Satyrinae	yes	natural	T2	larva					singly	cryptic	no		late June to early July (south not specified)	late June to early July (north not specified)		35	45	40.0	aposematic
Neophasia	menapia	Pieridae	Pierinae	yes	natural	G5	eggs					clutches	cryptic	no		une-September (south not speicified)	une-September (north not specified)		45	58	51.5	aposematic
Neophasia	terlooii	Pieridae	Pierinae	yes	natural	G4										June-July and September-November (south not specified)	June-July and September-November (north not specified)	nectar	45	58	51.5	aposematic
Noctuana	lactifera	Hesperiidae	Pyrginae	yes															35	35	35.0	aposematic
Notamblyscirtes	simius	Hesperiidae	Hesperiinae	yes	natural	G4				1	1	singly				April-August	May-July	nectar	22	32	27.0	cryptic
Nyctelius	nyctelius	Hesperiidae	Hesperiinae	yes	natural	G5						singly	cryptic	yes		May-December		nectar	27	39	33.0	cryptic
Nymphalis	antiopa	Nymphalidae	Nymphalinae	yes	natural	G5	adult	1	1	1	1	clutches	aposematic	yes		June-July	June-July	nectar, sap, rotting fruit	57	101	79.0	aposematic
Nymphalis	californica	Nymphalidae	Nymphalinae	yes	natural	G5	adult	2	2	2	2	clutches	aposematic	yes				nectar	32	70	51.0	aposematic
Nymphalis	milberti	Nymphalidae	Nymphalinae	yes	both	G5	adult	2	3	2	3	clutches	aposematic	yes		May-October (south not specified)	May-October (north not specified)	nectar, sap, rotting fruit	42	63	52.5	aposematic
Nymphalis	vaualbum	Nymphalidae	Nymphalinae	yes	both	G5	adult	1	1	1	1	clutches	aposematic	yes		July-November (south not specified)	July-November (north not specified)	nectar, rotting fruit	64	78	71.0	aposematic
Oarisma	edwardsii	Hesperiidae	Hesperiinae	yes	natural	G5		1		1								nectar	22	29	25.5	aposematic
Oarisma	garita	Hesperiidae	Hesperiinae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	no		June-July (south not specified)	June-July (north not specified)	nectar	19	30	24.5	aposematic
