Site	Lat	Lon	Merge
Boone County, IA.	41.97	-93.84	NA
Boone County, IN.	39.95	-86.25	NA
Boone County, MO.	38.88	-92.33	NA
Borrego Springs, CA.	33.25	-116.37	NA
Bouctouche, NB, Canada	46.5	-64.75	NA
Boulder Lake Management Area, MN.	47.0667	-92.1167	NA
Bowman's Hill Wildflower Preserve	40.422	-75.0044	NA
Boyce Thompson Arboretum	33.295	-111.0946	NA
Bragg Creek, AB, Canada.	50.95	-114.67	NA
Brass Hill, Barrington, NS, Canada.	43.5	-65.5	NA
Brazos Bend, TX.	29.3734	-95.6688	NA
Brazos Valley, TX.	29.9008	-96.0502	NA
Brevard Co. South	27.8803	-80.5012	NA
Brewster, MA.	41.7833	-70.0167	NA
Brewster, MA.	41.6095	-70.585	NA
Bristol Co.	41.6326	-70.9679	NA
Bristol Co.	41.7167	-71.35	NA
Bronx/Manhattan Counties, NY.	40.86	-73.9	NA
Broomfield County	39.9195	-105.0678	NA
Broward Co. North	26.2313	-80.157	NA
Broward Co. South	26.0634	-80.3135	NA
Browder Ridge, OR.	44.3158	-122.0855	NA
Brownsville, TX.	25.93	-97.45	NA
Bruderheim, AB, Canada.	53.88	-112.82	NA
Bryn Mawr, PA.	40.0689	-75.3406	NA
Buckingham Fountain	41.901	-87.502	NA
Buescher State Park, TX.	30.17	-97.25	NA
Buffalo Jump Prairie, MO.	37.77	-93.48	NA
Buffalo National River (Erbie), AR.	36.07	-93.22	NA
Bull Creek, FL.	28.0844	-80.9672	NA
Bullfrog Creek, FL.	27.77	-82.3351	NA
Burr Oak Woods, MO.	39.08	-94.37	NA
Butterbredt/Jawbone/Kelso	35.4306	-118.2188	NA
Butterfly Hill, VA.	39.27	-77.63	NA
Byron Hatchery Watchable Wildlife Area, OK.	36.83	-98.18	NA
Caddo Lake, TX.	32.72	-94.15	NA
Caesar Creek Lake, OH.	39.4881	-84.0582	NA
Cajun Prairie	30.5608	-92.4297	NA
Caledonia, MN.	43.73	-91.58	NA
Calgary-Fish Creek, AB, Canada.	50.85	-114.05	NA
Calling Lake, AB, Canada.	55.17	-113.39	NA
Calumet County, WI.	44.05	-88.33	NA
Calvert County, MD.	38.61	-76.7	NA
Camas National Wildlife Refuge, ID.	43.9653	-112.2643	NA
Cambridge (rare Charitable Research Reserve), ON.	43.3817	-80.355	NA
Cambridge Bay (Nunavut), NT, Canada.	69.13	-105	NA
Camel's Hump, VT.	44.43	-72.85	NA
Cameron Parish, LA.	29.75	-93.58	NA
Camillus, NY.	43.07	-76.22	NA
Camp Dundurn, SK, Canada.	51.9	-106.55	NA
Campbell County, TN.	36.37	-84.25	NA
Campestre Las Calandrias	18.5233	-98.2511	NA
Canaan Valley, WV.	39.0667	-79.425	NA
Cape May, NJ.	39.0167	-74.8667	NA
Cardinal River Divide - Cadomin, AB, Canada.	52.95	-117.24	NA
Carleton Reserve, Sarasota County, FL.	27.13	-82.4	NA
Carlsbad, NM	32.45	-104.3	NA
Carlton County, MN.	46.64	-92.34	NA
Caroline - Raven River, AB, Canada.	52.12	-114.86	NA
Carver Park Reserve, MN.	44.85	-93.6	NA
Cascade-Siskiyou National Monument	42.123	-122.4644	NA
Cass County, MI.	41.92	-86	NA
Castle Rocks State Park	42.0594	-113.6803	NA
Caswell County, NC.	36.35	-78.92	NA
Catahoula Butterfly Garden	31.5119	-92.4697	NA
Catahoula NWR	31.5766	-92.0088	NA
Catoosa-Whitfield, GA.	34.8749	-85.0056	NA
Cecil Co.	39.6492	-75.971	NA
Cedar Rapids, IA.	42	-91.68	NA
Center Point, TX.	29.8644	-99.0416	NA
Central Berkshire Co.	42.4086	-73.2537	NA
Central Bluegrass Region	37.9821	-84.4411	NA
Central Bucks County, PA.	40.37	-75.08	NA
Central Franklin Co.	42.5795	-72.5097	NA
Central Park, NY.	40.75	-73.97	NA
Central Queens County, Long Island, NY.	40.7	-73.83	NA
Central Savannah River Valley	33.3756	-81.9261	NA
Central Suffolk Co.	40.8627	-72.7536	NA
Chadds Ford, PA.	39.87	-75.58	NA
Chama Valley, NM.	36.8	-106.55	NA
Charleston - East, SC.	32.86	-79.88	NA
Charleston - South, SC.	32.72	-80.1	NA
Chatfield Nature Preserve, CO.	39.88	-105.17	NA
Chautauqua, NY.	42.271	-79.1639	NA
Chelsea, MI.	42.3181	-84.0204	NA
Cheyenne Bottoms	38.4495	-98.7369	NA
Cheyenne, WY-CO.	41.07	-104.9	NA
Chichaqua, IA.	41.79	-93.39	NA
Chief Joseph Highway	44.7268	-109.374	NA
Chilliwack, BC, Canada.	49.17	-122.25	NA
Chinook, AB, Canada.	51.31	-110.95	NA
Chippokes Plantation State Park, VA.	37.1397	-76.7208	NA
Chisos Mountains, TX.	29.27	-103.3	NA
Choctawhatchee Bay Northwest	30.524	-86.4974	NA
Choke Canyon, TX.	28.48	-98.35	NA
Christmas, FL.	28.5	-81	NA
Chumstick Mtn.	47.6507	-120.4509	NA
Churchill #1, MB, Canada.	59	-94.25	NA
Churchill #2, MB, Canada.	58.75	-94.12	NA
Citrus Co.	28.9995	-82.3755	NA
Clarinda, IA.	40.75	-95.08	NA
Clatsop, OR.	46.0167	-123.7833	NA
Clatter Valley, New Milford, CT.	41.47	-73.52	NA
Clear Creek Valley, OH.	39.62	-82.68	NA
Cleveland County Audubon Society, OK.	35.19	-97.33	NA
Cleveland Heights-Holden Arboretum, OH.	41.69	-81.36	NA
Clifton Bend	35.3759	-88.0379	NA
Clinton, MS.	32.33	-90.32	NA
Codorus State Park, PA.	39.78	-76.92	NA
Coffee Co.	35.4833	-86.1	NA
